"Source:","D:\work\Solar-board\Circuit\V2\Solar charger\Solar charger.kicad_sch"
"Date:","10/24/2022 6:05:04 AM"
"Tool:","Eeschema (6.0.7)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","77"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, C4, C6, C9, ","4","22u","C0805","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor",""
"C2, C7, C12, C14, C15, C16, C19, C21, ","8","0.1u","C0805","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor",""
"C3, C8, C13, C17, C18, ","5","1u","C0805","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor",""
"C5, ","1","0.47u","C0805","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor",""
"C10, C11, ","2","LIC1313Q3R8706-10F","C_Polarized","Capacitor_THT:CP_Radial_D13.0mm_P5.00mm","Polarized capacitor",""
"C20, C22, ","2","10u","C0805","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor",""
"C23, ","1","160n","C0805","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor",""
"J1, ","1","Conn_02x05_Odd_Even","Conn_02x05_Odd_Even","Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical","Generic connector, double row, 02x05, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",""
"L1, L2, ","2","4.7u","INDUCTOR","SolarCharger:IND-SMD_L4.5-W4.2","Inductor symbol for simulation only",""
"P1, ","1","USB_C_Plug_USB2.0","USB_C_Plug_USB2.0","SolarCharger:USB-C-SMD_TYPE-C-31-E-03","USB 2.0-only Type-C Plug connector",""
"Q1, Q3, ","2","Q_PMOS_GSD","Q_PMOS_GSD","Package_TO_SOT_SMD:SOT-23","P-MOSFET transistor, gate/source/drain",""
"Q2, Q4, ","2","Q_NMOS_GDS","Q_NMOS_GDS","Package_TO_SOT_SMD:SOT-23","N-MOSFET transistor, gate/drain/source",""
"R1, R9, ","2","20k","R0805","Resistor_SMD:R_0805_2012Metric","Resistor, US symbol",""
"R2, ","1","4.64k","R0805","Resistor_SMD:R_0805_2012Metric","Resistor, US symbol",""
"R3, ","1","1k","R0805","Resistor_SMD:R_0805_2012Metric","Resistor, US symbol",""
"R4, R5, ","2","56K","R0805","Resistor_SMD:R_0805_2012Metric","Resistor, US symbol",""
"R6, ","1","2.2k","R0805","Resistor_SMD:R_0805_2012Metric","Resistor, US symbol",""
"R7, ","1","10K","R0805","Resistor_SMD:R_0805_2012Metric","Resistor, US symbol",""
"R8, R12, R13, R14, R19, R20, ","6","100K","R0805","Resistor_SMD:R_0805_2012Metric","Resistor, US symbol",""
"R10, ","1","5.25K","R0805","Resistor_SMD:R_0805_2012Metric","Resistor, US symbol",""
"R11, ","1","1K","R0805","Resistor_SMD:R_0805_2012Metric","Resistor, US symbol",""
"R15, R21, ","2","100k","R0805","Resistor_SMD:R_0805_2012Metric","Resistor, US symbol",""
"R16, R18, R22, R24, ","4","150k","R0805","Resistor_SMD:R_0805_2012Metric","Resistor, US symbol",""
"R17, R23, ","2","250K","R0805","Resistor_SMD:R_0805_2012Metric","Resistor, US symbol",""
"R25, R26, ","2","4.7k","R0805","Resistor_SMD:R_0805_2012Metric","Resistor, US symbol",""
"R27, ","1","0.1","R0805","Resistor_SMD:R_0805_2012Metric","Resistor, US symbol",""
"R28, ","1","10k","R0805","Resistor_SMD:R_0805_2012Metric","Resistor, US symbol",""
"R29, ","1","207K","R0805","Resistor_SMD:R_0805_2012Metric","Resistor, US symbol",""
"R30, ","1","33K","R0805","Resistor_SMD:R_0805_2012Metric","Resistor, US symbol",""
"R31, R33, ","2","5","R0805","Resistor_SMD:R_0805_2012Metric","Resistor, US symbol",""
"R32, ","1","0.015","R0805","Resistor_SMD:R_0805_2012Metric","Resistor, US symbol",""
"S1, ","1","Solar_Cell","Solar_Cell","SolarCharger:SolarCell","",""
"SW1, ","1","SW_Push","SW_Push","","Push button switch, generic, two pins",""
"U1, U3, ","2","BL8032CB6TR","BL8032CB6TR","Package_TO_SOT_SMD:SOT-23-6","",""
"U2, ","1","PS9115FS6","PS9115FS6","Package_TO_SOT_SMD:SOT-23-6","",""
"U4, ","1","74AHC1G00","74AHC1G00","","Single NAND Gate, Low-Voltage CMOS",""
"U5, ","1","LM339","LM339","","Quad Differential Comparators, SOIC-14/TSSOP-14",""
"U6, ","1","ME6206A21M3G","ME6206A21M3G","Package_TO_SOT_SMD:SOT-23","",""
"U7, ","1","NCT3933U","NCT3933U","Package_TO_SOT_SMD:SOT-23-8","",""
"U8, ","1","AMS1117-3.3","AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1A Low Dropout regulator, positive, 3.3V fixed output, SOT-223",""
"U9, U11, ","2","INA180A3IDBVR","INA180A3IDBVR","Package_TO_SOT_SMD:SOT-23-5","",""
"U10, ","1","N76E003AT20","N76E003AT20","Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm","",""
